DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P784S1A3;FEX_C
7120016;1;1;1;2;344,7447944508
7120016;2;1;2;3;344,7447944508
7120019;1;1;1;4;396,249507245442
7120019;2;1;2;5;396,249507245442
7120046;3;1;3;6;211,50457152763
7120046;1;1;1;4;211,50457152763
7120046;2;1;2;5;211,50457152763
7120054;1;1;1;4;172,044545033636
7120059;1;1;1;3;54,575696717448
7120061;1;1;1;3;26,1760395339977
7120067;1;1;1;2;17,0216837682415
7120076;1;1;1;2;15,2227972401395
7120079;1;1;1;2;12,0911446283902
7120084;1;1;1;1;19,0820206145552
7120089;1;1;1;3;18,0824060660269
7121648;1;1;1;5;372,55521141448
7121650;1;1;1;3;228,625897548189
7121653;1;1;1;5;393,463662284139
7121653;2;1;2;6;393,463662284139
7121653;3;1;3;7;393,463662284139
7121658;1;1;1;3;263,10363790885
7121658;2;1;2;4;263,10363790885
7121658;3;1;3;5;263,10363790885
7121664;1;1;1;3;267,769839239903
7121666;1;1;1;3;291,008721338928
7121691;1;1;1;3;47,0650088625547
7121695;1;1;1;2;50,3963723048848
7121695;2;1;2;3;50,3963723048848
7121705;1;1;1;8;26,0200946301375
7121713;1;1;1;4;45,3774932830149
7121713;2;1;2;5;45,3774932830149
7121715;1;1;1;2;32,623467890087
7121715;2;1;2;3;32,623467890087
7121715;3;1;3;4;32,623467890087
7121719;1;1;1;3;48,6126417736101
7121719;2;1;2;4;48,6126417736101
7121719;3;1;3;5;48,6126417736101
7121722;1;1;1;2;30,7567350539868
7121722;2;1;2;3;30,7567350539868
7121723;1;1;1;3;37,3835627290545
7121723;2;1;2;4;37,3835627290545
7121723;3;1;3;5;37,3835627290545
7121756;1;1;1;3;68,7527851607643
7121756;2;1;2;4;68,7527851607643
7121767;1;1;1;2;67,2789116581339
7121805;1;1;1;3;37,799278363251
7121805;2;1;2;4;37,799278363251
7121806;1;1;1;3;50,0763018819042
7121812;1;1;1;3;34,8974782709409
7121813;1;1;1;2;37,6987368961697
7121816;1;1;1;4;45,6073251651962
7121822;1;1;1;3;40,3636098368535
7121830;1;1;1;3;32,1829707587135
7121830;2;1;2;4;32,1829707587135
7121831;1;1;1;2;28,1815831673174
7121841;1;1;1;3;67,4598773709413
7121841;2;1;2;4;67,4598773709413
7121842;1;1;1;2;51,376921441947
7121845;1;1;1;3;83,3073383448296
7121849;1;1;1;2;70,1904969832529
7121849;2;1;2;3;70,1904969832529
7121849;3;1;3;4;70,1904969832529
7121854;1;1;1;3;90,212211755127
7121854;2;1;2;5;90,212211755127
7121854;3;1;3;6;90,212211755127
7121856;1;1;1;3;123,812967019518
7121856;2;1;2;4;123,812967019518
7121856;3;1;3;5;123,812967019518
7121856;4;1;4;6;123,812967019518
7121857;1;1;1;3;104,610069589432
7121862;1;1;1;3;55,0069617957132
7121862;2;1;2;4;55,0069617957132
7121862;3;1;3;5;55,0069617957132
7121864;1;1;1;4;109,719955484347
7121867;1;1;1;3;92,3180109330459
7121867;2;1;2;4;92,3180109330459
7121867;3;1;3;5;92,3180109330459
7121868;1;1;1;3;109,719955484347
7121868;2;1;2;4;109,719955484347
7121869;1;1;1;3;88,264746216083
7121870;1;1;1;2;71,7081861150512
7121870;2;1;2;3;71,7081861150512
7121871;1;1;1;6;46,9795646053304
7121875;1;1;1;1;48,7463922484604
7121877;1;1;1;3;37,3201312646348
7121878;1;1;1;2;40,4674574655237
7121878;2;1;2;3;40,4674574655237
7121881;1;1;1;1;37,0310057958152
7121889;1;1;1;4;78,6853704055833
7121889;2;1;2;5;78,6853704055833
7121893;1;1;1;3;38,5109313818608
7121894;1;1;1;3;44,6923615053841
7121894;2;1;2;4;44,6923615053841
7121895;1;1;1;1;25,1074319356033
7121901;1;1;1;3;32,1942236355545
7121905;1;1;1;2;26,980151174174
7121905;2;1;2;3;26,980151174174
