DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P8692S3A1;FEX_C
7120005;1;1;1;1;175,390716700227
7120005;2;1;2;2;175,390716700227
7120022;1;1;1;1;384,189188962402
7120022;2;1;2;2;384,189188962402
7120036;1;1;1;1;70,104626818724
7120036;2;1;2;2;70,104626818724
7120062;1;1;1;1;15,1928070790412
7120062;2;1;2;2;15,1928070790412
7121641;1;1;1;1;382,14320682525
7121641;2;1;2;2;382,14320682525
7121642;1;1;1;1;345,429488806627
7121642;2;1;2;2;345,429488806627
7121645;1;1;1;1;302,738726363579
7121645;2;1;2;2;302,738726363579
7121645;3;1;3;3;302,738726363579
7121859;1;1;1;1;97,7821121350081
7121859;2;1;2;2;97,7821121350081
7121945;1;1;1;1;84,60991477449
7121945;2;1;2;2;84,60991477449
7121947;1;1;1;1;84,60991477449
7121947;2;1;2;2;84,60991477449
7121950;1;1;1;1;57,5236182322598
7121950;2;1;2;2;57,5236182322598
7121952;1;1;1;1;140,209865733958
7121952;2;1;2;2;140,209865733958
7121953;1;1;1;2;84,60991477449
7121953;2;1;2;1;84,60991477449
7121976;1;1;1;1;96,5004112261926
7121976;2;1;2;2;96,5004112261926
7121980;1;1;1;1;91,6170547810226
7121980;2;1;2;2;91,6170547810226
7122047;1;1;1;1;211,90087127952
7122047;2;1;2;2;211,90087127952
7122051;1;1;1;1;225,245351470962
7122051;2;1;2;2;225,245351470962
7122079;1;1;1;1;367,728103205809
7122079;2;1;2;2;367,728103205809
7122079;3;1;3;3;367,728103205809
7122079;4;1;4;4;367,728103205809
7122094;1;1;1;1;205,653989717757
7122094;2;1;2;2;205,653989717757
7122132;1;1;1;1;277,991181550281
7122132;2;1;2;2;277,991181550281
7122138;1;1;1;1;262,817763414725
7122138;2;1;2;2;262,817763414725
7122152;1;1;1;1;302,247582228103
7122152;2;1;2;2;302,247582228103
7122162;1;1;1;1;1045,8154848271
7122162;2;1;2;2;1045,8154848271
7122165;1;1;1;1;1018,13005804815
7122165;2;1;2;2;1018,13005804815
7122167;1;1;1;1;897,238810571239
7122167;2;1;2;2;897,238810571239
7122183;1;1;1;1;399,910807936184
7122183;2;1;2;2;399,910807936184
7122188;1;1;1;1;588,271210215244
7122188;2;1;2;2;588,271210215244
7122190;1;1;1;1;549,010618702394
7122190;2;1;2;2;549,010618702394
7122197;1;1;1;1;1009,66510924524
7122197;2;1;2;2;1009,66510924524
7122197;3;1;3;3;1009,66510924524
7122197;4;1;4;4;1009,66510924524
7122198;1;1;1;1;872,553281977736
7122198;2;1;2;2;872,553281977736
7122199;1;1;1;1;865,110115316458
7122199;2;1;2;2;865,110115316458
7122199;3;1;3;3;865,110115316458
7122200;1;1;1;2;731,152141558619
7122200;2;1;2;3;731,152141558619
7122202;1;1;1;1;776,724188344227
7122202;2;1;2;2;776,724188344227
7122204;1;1;1;1;1107,94906110881
7122204;2;1;2;2;1107,94906110881
7122207;1;1;1;1;1124,39978075038
7122207;2;1;2;2;1124,39978075038
7122211;1;1;1;1;56,1596490387795
7122211;2;1;2;2;56,1596490387795
7122215;1;1;1;1;143,788632131768
7122215;2;1;2;2;143,788632131768
7122219;1;1;1;1;94,5916938220317
7122219;2;1;2;2;94,5916938220317
7122219;3;1;3;3;94,5916938220317
7122222;1;1;1;1;102,708250918854
7122222;2;1;2;2;102,708250918854
7122225;1;1;1;1;140,782448777783
7122225;2;1;2;2;140,782448777783
7122225;3;1;3;3;140,782448777783
7122225;4;1;4;4;140,782448777783
7122232;1;1;1;1;110,397429397272
7122232;2;1;2;2;110,397429397272
7122241;1;1;1;1;240,482535638984
7122241;2;1;2;2;240,482535638984
7122247;1;1;1;1;147,778415030785
7122247;2;1;2;2;147,778415030785
7122264;1;1;1;1;112,974329685616
7122264;2;1;2;4;112,974329685616
7122271;1;1;1;1;69,1381112984201
7122271;2;1;2;2;69,1381112984201
7122271;3;1;3;3;69,1381112984201
7122273;1;1;1;1;57,8137739307002
7122273;2;1;2;2;57,8137739307002
7122273;3;1;3;3;57,8137739307002
7122276;1;1;1;1;75,2599898981519
7122276;2;1;2;5;75,2599898981519
7122285;1;1;1;1;86,002559167151
7122285;2;1;2;2;86,002559167151
7122292;1;1;1;1;64,0001043924971
7122292;2;1;2;2;64,0001043924971
7122292;3;1;3;3;64,0001043924971
7122299;1;1;1;1;79,5233550728625
7122299;2;1;2;2;79,5233550728625
7122300;1;1;1;1;81,9399931008082
7122300;2;1;2;2;81,9399931008082
7122300;3;1;3;3;81,9399931008082
7122300;4;1;4;4;81,9399931008082
7122300;5;1;5;5;81,9399931008082
7122300;6;1;6;6;81,9399931008082
7122300;7;1;7;7;81,9399931008082
7122303;1;1;1;1;62,6787207650441
7122303;2;1;2;2;62,6787207650441
7122303;3;1;3;3;62,6787207650441
7122303;4;1;4;4;62,6787207650441
7122303;5;1;5;5;62,6787207650441
7122306;1;1;1;1;112,974329685616
7122306;2;1;2;2;112,974329685616
7122307;1;1;1;1;130,696014781166
7122307;3;1;3;4;130,696014781166
7122307;2;1;2;2;130,696014781166
7122310;1;1;1;1;100,002160746536
7122310;2;1;2;2;100,002160746536
7122314;1;1;1;1;101,540845799027
7122314;2;1;2;2;101,540845799027
7122317;1;1;1;1;71,4259939357054
7122317;2;1;2;2;71,4259939357054
7122330;1;1;1;2;100,786890620692
7122330;2;1;2;1;100,786890620692
7122334;1;1;1;1;105,818402383669
7122334;2;1;2;2;105,818402383669
7122335;1;1;1;1;86,1740449958144
7122335;2;1;2;2;86,1740449958144
7122337;1;1;1;1;105,404937939421
7122337;2;1;2;2;105,404937939421
7122390;1;1;1;2;222,692538392915
7122390;2;1;2;1;222,692538392915
7122391;1;1;1;1;226,220990125054
7122391;2;1;2;2;226,220990125054
7122457;1;1;1;1;580,992780922874
7122457;2;1;2;2;580,992780922874
7122459;1;1;1;1;496,188029497966
7122459;2;1;2;2;496,188029497966
7122464;1;1;1;1;25,4736484910943
7122464;2;1;2;5;25,4736484910943
7122485;1;1;1;1;32,2590685140447
7122485;2;1;2;2;32,2590685140447
7122488;1;1;1;1;22,9036635921054
7122488;2;1;2;2;22,9036635921054
7122522;1;1;1;1;6,32830835655645
7122522;2;1;2;2;6,32830835655645
7122566;1;1;1;1;3,59577407153799
7122566;2;1;2;2;3,59577407153799
7122655;1;1;1;1;1,86059970597319
7122655;2;1;2;2;1,86059970597319
7122694;1;1;1;1;13,9525386975121
7122694;2;1;2;2;13,9525386975121
7122714;1;1;1;1;13,0198935544032
7122714;2;1;2;2;13,0198935544032
7122748;1;1;1;1;15,2479909590573
7122748;2;1;2;2;15,2479909590573
7122754;1;1;1;1;7,97286594817789
7122754;2;1;2;2;7,97286594817789
7122893;1;1;1;1;87,4529228027683
7122893;2;1;2;2;87,4529228027683
7122927;1;1;1;1;163,794844730051
7122927;2;1;2;2;163,794844730051
7122948;1;1;1;2;161,286269594573
7122948;2;1;2;3;161,286269594573
7122948;3;1;3;4;161,286269594573
7122990;1;1;1;1;223,133597239518
7122990;2;1;2;2;223,133597239518
7123015;1;1;1;1;166,215423676331
7123015;2;1;2;2;166,215423676331
7123024;1;1;1;1;113,634465927712
7123024;2;1;2;2;113,634465927712
7123064;1;1;1;1;119,098294654636
7123064;2;1;2;2;119,098294654636
7123110;1;1;1;1;236,966635837798
7123110;2;1;2;2;236,966635837798
7123176;1;1;1;1;106,770516078709
7123176;2;1;2;2;106,770516078709
7123215;1;1;1;1;24,1669594482806
7123215;2;1;2;2;24,1669594482806
7123226;1;1;1;1;24,1669594482806
7123226;2;1;2;2;24,1669594482806
7123231;1;1;1;1;158,076646963995
7123231;2;1;2;2;158,076646963995
7123242;1;1;1;1;244,824393270421
7123242;2;1;2;2;244,824393270421
7123273;1;1;1;1;230,036825126819
7123273;2;1;2;2;230,036825126819
7123282;1;1;1;1;703,440468361391
7123282;2;1;2;2;703,440468361391
7123283;1;1;1;1;606,668344341445
7123283;2;1;2;2;606,668344341445
7123343;1;1;1;1;155,285968813593
7123343;2;1;2;2;155,285968813593
7123343;3;1;3;3;155,285968813593
7123386;1;1;1;1;275,06028268679
7123386;2;1;2;2;275,06028268679
7123391;1;1;1;1;85,7565647269897
7123391;2;1;2;2;85,7565647269897
7123431;1;1;1;2;13,4690729606348
7123431;2;1;2;3;13,4690729606348
7123431;3;1;3;4;13,4690729606348
7123460;1;1;1;1;15,2201271506622
7123460;2;1;2;2;15,2201271506622
7123460;3;1;3;3;15,2201271506622
7123460;4;1;4;4;15,2201271506622
7123629;1;1;1;1;88,9877647648246
7123629;2;1;2;2;88,9877647648246
7123639;1;1;1;1;101,965943189627
7123639;2;1;2;2;101,965943189627
7123639;3;1;3;3;101,965943189627
7123639;4;1;4;4;101,965943189627
7123667;1;1;1;1;77,7381905856123
7123667;2;1;2;2;77,7381905856123
7123750;1;1;1;1;15,6213294283818
7123750;2;1;2;2;15,6213294283818
7123793;1;1;1;1;431,203551126104
7123793;2;1;2;2;431,203551126104
7123799;1;1;1;1;267,248693828567
7123799;2;1;2;2;267,248693828567
7123872;1;1;1;1;929,963497924633
7123872;2;1;2;3;929,963497924633
7123873;1;1;1;1;915,703564479893
7123873;2;1;2;2;915,703564479893
7123879;1;1;1;1;1417,47194887173
7123879;2;1;2;2;1417,47194887173
7123933;1;1;1;1;311,800961798334
7123933;2;1;2;2;311,800961798334
7123940;1;1;1;1;70,088294673371
7123940;2;1;2;2;70,088294673371
7123967;1;1;1;1;209,529336476023
7123967;2;1;2;2;209,529336476023
7123974;1;1;1;1;295,190172420462
7123974;2;1;2;2;295,190172420462
7124037;1;1;1;1;235,729327298541
7124037;2;1;2;2;235,729327298541
7124049;1;1;1;1;251,012215142095
7124049;2;1;2;2;251,012215142095
7124053;1;1;1;1;90,9783880252767
7124053;2;1;2;2;90,9783880252767
7124057;1;1;1;1;112,055448667696
7124057;2;1;2;2;112,055448667696
7124059;1;1;1;1;71,1897416113484
7124059;2;1;2;2;71,1897416113484
7124059;3;1;3;3;71,1897416113484
7124061;1;1;1;1;100,602446274134
7124061;2;1;2;2;100,602446274134
7124061;3;1;3;3;100,602446274134
7124062;1;1;1;1;75,677823513135
7124062;2;1;2;2;75,677823513135
7124062;3;1;3;3;75,677823513135
7124192;1;1;1;1;15,2849826319577
7124192;2;1;2;2;15,2849826319577
7124192;3;1;3;3;15,2849826319577
7124192;4;1;4;4;15,2849826319577
7124275;1;1;1;1;478,390286871763
7124275;2;1;2;2;478,390286871763
7124360;1;1;1;1;90,5699474038452
7124360;2;1;2;2;90,5699474038452
7124371;1;1;1;1;349,314845788449
7124371;2;1;2;2;349,314845788449
7124376;1;1;1;1;225,830819033259
7124376;2;1;2;2;225,830819033259
7124395;1;1;1;1;376,564753684699
7124395;2;1;2;2;376,564753684699
7124398;1;1;1;1;258,827405236763
7124398;2;1;2;2;258,827405236763
7124403;1;1;1;1;295,423270634804
7124403;2;1;2;2;295,423270634804
7124406;1;1;1;1;183,53763156032
7124406;2;1;2;2;183,53763156032
