Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge
7120001-1;1;1;2;2;1;2;44;48
7120002-1;5;1;1;2;2;6;61;54
7120005-1;0;1;1;2;2;6;79;75
7120006-1;0;1;2;;;5;37;
7120007-1;0;1;1;;;5;72;
7120008-1;0;1;1;;;5;73;
7120009-1;1;1;2;;;3;74;
7120010-1;3;1;1;2;2;2;41;35
7120013-1;0;1;2;;;4;26;
7120016-1;2;1;2;;;4;39;
7120018-1;2;1;1;2;2;2;24;25
7120019-1;1;1;1;;;3;60;
7120022-1;0;1;1;2;2;6;65;61
7120023-1;2;1;1;2;2;6;35;32
7120024-1;2;1;1;2;2;2;35;26
7120025-1;1;1;2;2;1;2;55;58
7120028-1;0;1;1;2;2;2;64;61
7120030-1;1;1;1;2;2;2;34;24
7120031-1;0;1;2;;;5;46;
7120032-1;1;1;2;;;4;50;
7120033-1;1;1;1;2;2;2;31;26
7120034-1;0;1;2;;;5;74;
7120035-1;1;1;1;2;2;6;56;34
7120036-1;0;1;2;;;5;63;
7120037-1;0;1;1;;;3;79;
7120039-1;2;1;1;2;2;1;58;39
7120041-1;4;1;2;;;4;36;
7120044-1;0;1;1;;;4;54;
7120045-1;0;1;1;2;2;6;76;69
7120046-1;4;1;1;2;2;6;42;43
7120048-1;0;1;2;;;3;68;
7120050-1;0;1;2;;;6;33;
7120052-1;0;1;1;2;2;2;50;52
7120053-1;2;1;1;2;2;6;59;68
7120054-1;2;1;2;2;1;2;40;41
7120055-1;2;1;2;2;1;6;36;44
7120056-1;0;1;1;;;5;29;
7120059-1;0;1;1;;;5;39;
7120060-1;0;1;1;;;4;60;
7120061-1;2;1;2;2;1;6;30;32
7120062-1;1;1;1;2;2;6;75;69
7120063-1;1;1;1;2;2;6;48;49
7120064-1;0;1;2;;;2;47;
7120065-1;0;1;1;2;2;2;41;40
7120066-1;1;1;1;2;2;2;53;50
7120067-1;1;1;1;2;2;1;24;23
7120069-1;0;1;2;2;1;6;82;88
7120070-1;1;1;2;;;2;27;
7120071-1;0;1;1;2;2;2;41;49
7120073-1;1;1;2;;;5;49;
7120074-1;0;1;2;;;6;59;
7120075-1;6;1;1;2;2;1;40;30
7120076-1;2;1;2;;;5;35;
7120077-1;0;1;2;;;5;25;
7120078-1;0;1;2;;;4;53;
7120079-1;0;1;2;;;5;22;
7120080-1;0;1;1;;;5;33;
7120081-1;0;1;1;;;4;37;
7120082-1;0;1;2;;;6;24;
7120083-1;1;1;2;;;5;55;
7120084-1;1;1;2;2;1;2;42;43
7120085-1;1;1;1;2;2;6;26;20
7120086-1;0;1;1;2;2;6;76;70
7120087-1;0;1;1;2;2;6;73;62
7120088-1;1;1;2;;;5;58;
7120089-1;2;1;1;2;2;6;52;45
7120090-1;1;1;1;2;2;2;44;50
7120091-1;1;1;2;;;5;32;
7121638-1;2;1;1;2;2;2;62;56
7121639-1;1;1;1;;;3;78;
7121640-1;2;1;2;;;4;47;
7121641-1;2;1;1;2;2;6;51;50
7121642-1;3;1;1;2;2;6;63;52
7121643-1;1;1;1;2;2;6;29;24
7121644-1;3;1;1;2;2;6;40;42
7121645-1;1;1;1;2;2;6;61;54
7121646-1;2;1;2;;;4;40;
7121647-1;0;1;1;;;4;41;
7121648-1;0;1;2;;;3;52;
7121649-1;0;1;1;2;2;2;55;56
7121650-1;2;1;2;;;5;46;
7121651-1;0;1;1;;;5;56;
7121652-1;2;1;1;2;2;6;37;38
7121653-1;2;1;1;2;2;6;54;52
7121654-1;0;1;2;;;4;57;
7121658-1;3;1;2;2;1;2;34;34
7121659-1;0;1;2;;;4;70;
7121660-1;2;1;2;2;1;2;31;34
7121662-1;1;1;2;;;4;62;
7121663-1;3;1;1;2;2;2;38;37
7121664-1;2;1;1;2;2;6;24;25
7121665-1;0;1;2;;;4;59;
7121666-1;1;1;2;2;1;2;31;24
7121667-1;1;1;2;2;1;2;19;22
7121669-1;4;1;1;2;2;2;45;28
7121670-1;0;1;2;;;2;51;
7121674-1;1;1;1;2;2;2;59;27
7121676-1;0;1;1;2;2;2;70;63
7121678-1;0;1;1;;;4;57;
7121681-1;0;1;1;;;6;52;
7121682-1;3;1;1;2;2;6;44;41
7121683-1;0;1;1;;;4;52;
7121687-1;1;1;2;;;4;47;
7121689-1;0;1;1;2;2;6;48;26
7121690-1;2;1;2;;;2;36;
7121691-1;1;1;2;;;3;71;
7121693-1;2;1;1;2;2;6;51;55
7121694-1;2;1;2;2;1;2;31;33
7121695-1;2;1;2;;;4;35;
7121697-1;2;1;2;2;1;2;33;38
7121698-1;1;1;2;2;1;2;21;28
7121699-1;2;1;1;2;2;2;32;26
7121700-1;3;1;2;;;4;31;
7121701-1;3;1;1;;;4;41;
7121702-1;1;1;2;;;3;76;
7121703-1;1;1;2;;;3;72;
7121704-1;0;1;2;2;1;2;62;69
7121705-1;3;1;1;2;2;2;56;56
7121706-1;2;1;1;2;2;2;58;45
7121707-1;0;1;1;2;2;2;57;62
7121709-1;1;1;1;2;2;2;30;41
7121710-1;1;1;2;2;1;1;46;38
7121712-1;2;1;1;2;2;2;73;47
7121713-1;3;1;1;2;2;2;49;38
7121714-1;0;1;2;;;5;71;
7121715-1;2;1;2;;;5;30;
7121716-1;0;1;1;;;4;53;
7121718-1;0;1;1;2;2;6;69;63
7121719-1;4;1;1;2;2;2;38;47
7121720-1;2;1;1;2;2;2;35;26
7121721-1;3;1;2;;;5;30;
7121722-1;2;1;2;;;4;43;
7121723-1;3;1;2;2;1;2;30;32
7121724-1;2;1;2;2;1;2;49;62
7121725-1;0;1;1;;;6;57;
7121726-1;1;1;2;;;2;27;
7121727-1;0;1;1;;;5;37;
7121728-1;0;1;2;;;2;49;
7121729-1;1;1;1;;;4;22;
7121730-1;0;1;1;;;5;35;
7121732-1;2;1;1;2;2;2;25;27
7121733-1;4;1;1;2;2;2;31;27
7121734-1;0;1;2;2;1;1;68;65
7121735-1;1;1;2;2;1;2;20;48
7121736-1;2;1;1;;;3;48;
7121737-1;0;1;1;;;4;24;
7121738-1;3;1;1;2;2;2;40;35
7121739-1;2;1;2;;;4;52;
7121740-1;1;1;2;;;4;56;
7121741-1;1;1;1;2;2;1;33;31
7121742-1;1;1;1;2;2;1;26;21
7121744-1;2;1;2;;;4;52;
7121746-1;0;1;2;;;5;25;
7121747-1;0;1;2;;;5;23;
7121748-1;0;1;2;2;1;2;52;59
7121750-1;0;1;2;;;3;76;
7121751-1;0;1;1;;;4;39;
7121752-1;4;1;2;;;2;47;
7121753-1;1;1;1;;;4;62;
7121755-1;0;1;1;2;2;6;32;43
7121756-1;2;1;1;2;2;2;29;25
7121757-1;0;1;1;2;2;2;62;61
7121759-1;2;1;1;2;2;2;25;26
7121762-1;0;1;1;2;2;6;65;55
7121763-1;0;1;1;2;2;6;77;73
7121764-1;0;1;1;2;2;6;53;57
7121765-1;0;1;2;;;3;73;
7121767-1;1;1;2;;;4;37;
7121769-1;0;1;2;;;4;50;
7121770-1;1;1;1;2;2;6;75;69
7121773-1;3;1;1;2;2;6;46;41
7121774-1;0;1;1;2;2;6;63;62
7121776-1;0;1;1;2;2;6;60;60
7121783-1;0;1;2;2;1;2;57;59
7121801-1;0;1;1;2;2;2;85;72
7121802-1;1;1;2;;;5;53;
7121805-1;3;1;1;2;2;6;39;40
7121806-1;1;1;1;2;2;2;32;33
7121808-1;1;1;1;2;2;2;20;35
7121808-2;0;1;1;2;2;2;29;27
7121810-1;0;1;1;2;2;1;39;19
7121811-1;2;1;1;2;2;6;34;35
7121812-1;1;1;2;;;1;46;
7121813-1;1;1;2;;;5;57;
7121814-1;0;1;2;;;4;48;
7121816-1;4;1;2;;;4;36;
7121817-1;0;1;1;;;5;50;
7121819-1;1;1;1;2;2;6;26;35
7121820-1;0;1;1;;;4;59;
7121822-1;2;1;1;2;2;1;28;23
7121823-1;0;1;1;;;2;59;
7121825-1;2;1;2;;;4;35;
7121826-1;0;1;1;;;5;27;
7121827-1;3;1;2;;;5;34;
7121828-1;0;1;1;;;5;61;
7121829-1;2;1;1;2;2;2;50;45
7121830-1;2;1;1;2;2;2;47;42
7121831-1;1;1;2;;;5;26;
7121832-1;0;1;1;2;2;2;25;16
7121833-1;1;1;2;;;5;26;
7121834-1;0;1;2;;;5;49;
7121835-1;1;1;1;2;2;2;44;42
7121836-1;0;1;1;;;5;53;
7121837-1;1;1;2;;;4;41;
7121838-1;1;1;2;2;1;2;41;51
7121839-1;0;1;2;;;5;76;
7121840-1;1;1;2;;;3;93;
7121841-1;2;1;1;2;2;2;40;31
7121842-1;0;1;1;;;3;69;
7121843-1;0;1;2;;;4;55;
7121844-1;0;1;1;2;2;6;61;55
7121845-1;2;1;2;;;4;34;
7121846-1;2;1;1;2;2;2;26;22
7121847-1;2;1;1;2;2;2;54;42
7121848-1;1;1;1;2;2;6;48;45
7121849-1;3;1;2;;;4;35;
7121850-1;0;1;2;;;3;79;
7121853-1;0;1;1;2;2;2;43;50
7121854-1;1;1;1;2;2;6;53;42
7121855-1;2;1;2;2;1;2;24;39
7121856-1;4;1;1;2;2;2;45;41
7121857-1;1;1;1;2;2;6;38;27
7121859-1;0;1;1;2;2;6;71;64
7121860-1;0;1;1;2;2;6;62;62
7121862-1;3;1;1;2;2;6;59;51
7121863-1;0;1;1;;;5;30;
7121864-1;3;1;1;;;2;49;
7121866-1;0;1;1;2;2;2;32;42
7121867-1;3;1;1;2;2;2;28;26
7121868-1;2;1;2;2;1;6;44;46
7121869-1;1;1;1;2;2;6;49;43
7121870-1;2;1;2;;;4;54;
7121871-1;4;1;1;2;2;6;46;35
7121874-1;1;1;1;;;4;73;
7121875-1;0;1;1;;;5;14;
7121876-1;0;1;1;;;5;45;
7121877-1;3;1;2;;;2;34;
7121878-1;2;1;2;;;4;22;
7121879-1;0;1;1;;;5;35;
7121880-1;1;1;2;;;2;22;
7121881-1;0;1;2;;;3;87;
7121883-1;0;1;2;;;3;59;
7121884-1;0;1;1;2;2;6;62;61
7121888-1;1;1;1;2;2;2;31;21
7121889-1;4;1;2;;;4;32;
7121890-1;2;1;1;2;2;2;20;20
7121892-1;3;1;1;2;2;6;45;38
7121893-1;2;1;2;;;4;47;
7121894-1;2;1;2;2;1;2;35;31
7121895-1;1;1;1;2;2;6;70;55
7121896-1;0;1;1;;;5;26;
7121897-1;0;1;1;;;4;28;
7121898-1;2;1;2;2;1;2;41;52
7121899-1;1;1;1;2;2;6;23;29
7121901-1;2;1;2;;;4;49;
7121902-1;4;1;2;;;4;33;
7121903-1;0;1;1;;;4;53;
7121904-1;0;1;1;;;5;49;
7121905-1;3;1;2;;;2;26;
7121906-1;1;1;1;2;2;2;54;52
7121907-1;0;1;2;;;4;40;
7121908-1;1;1;1;2;2;6;75;68
7121910-1;0;1;1;2;2;6;61;54
7121911-1;1;1;1;2;2;6;83;75
7121912-1;1;1;2;2;1;2;35;44
7121913-1;1;1;1;2;2;6;65;60
7121914-1;0;1;1;;;5;38;
7121915-1;0;1;2;;;3;53;
7121916-1;0;1;2;;;4;48;
7121919-1;0;1;2;;;3;85;
7121920-1;1;1;2;;;4;58;
7121921-1;2;1;2;2;1;6;29;29
7121922-1;2;1;2;2;1;2;38;42
7121923-1;3;1;2;;;4;48;
7121924-1;1;1;1;2;2;2;29;37
7121925-1;0;1;2;;;3;63;
7121926-1;1;1;1;2;2;6;27;24
7121927-1;0;1;2;;;3;80;
7121928-1;4;1;1;2;2;6;49;39
7121929-1;0;1;2;;;4;73;
7121930-1;0;1;1;;;5;38;
7121931-1;0;1;1;2;2;6;59;60
7121932-1;0;1;1;;;2;28;
7121933-1;2;1;2;;;3;36;
7121934-1;3;1;2;2;1;6;41;52
7121935-1;1;1;2;;;5;53;
7121936-1;1;1;1;2;2;6;56;51
7121937-1;0;1;1;2;2;2;62;54
7121939-1;2;1;2;;;4;40;
7121940-1;1;1;2;;;3;55;
7121942-1;1;1;2;;;5;33;
7121942-2;0;1;2;;;5;50;
7121943-1;1;1;2;;;3;76;
7121944-1;0;1;1;;;5;40;
7121945-1;0;1;1;2;2;6;89;68
7121946-1;1;1;2;;;5;67;
7121947-1;0;1;1;2;2;6;73;65
7121949-1;1;1;2;;;4;61;
7121950-1;0;1;1;2;2;2;66;66
7121951-1;0;1;2;;;5;49;
7121952-1;2;1;1;2;2;6;47;31
7121953-1;0;1;1;2;2;6;72;64
7121954-1;1;1;2;;;4;31;
7121955-1;0;1;1;2;2;6;52;37
7121956-1;1;1;2;;;4;85;
7121957-1;1;1;1;2;2;2;43;35
7121959-1;0;1;1;;;5;33;
7121960-1;3;1;1;2;2;6;48;49
7121961-1;0;1;1;2;2;1;32;21
7121962-1;2;1;2;2;1;1;38;48
7121963-1;0;1;2;2;1;6;66;80
7121964-1;1;1;2;;;5;58;
7121966-1;1;1;2;;;3;96;
7121967-1;0;1;2;;;5;41;
7121967-2;0;1;2;;;5;18;
7121968-1;1;1;2;;;5;37;
7121969-1;2;1;2;;;5;36;
7121970-1;0;1;2;;;3;60;
7121971-1;0;1;2;;;3;82;
7121972-1;0;1;1;;;4;62;
7121973-1;0;1;2;;;5;54;
7121974-1;0;1;1;2;2;2;69;51
7121975-1;0;1;1;2;2;2;61;59
7121976-1;0;1;1;2;2;2;56;49
7121977-1;0;1;1;2;2;2;60;58
7121978-1;2;1;1;2;2;6;47;43
7121979-1;0;1;1;;;4;63;
7121980-1;0;1;1;;;1;76;
7121981-1;1;1;1;2;2;2;29;26
7121982-1;0;1;2;;;6;68;
7121983-1;3;1;1;2;2;6;43;47
7121984-1;0;1;2;;;4;58;
7121985-1;1;1;1;2;2;6;48;35
7121987-1;3;1;1;2;2;1;47;37
7121989-1;2;1;2;;;4;42;
7121989-2;0;1;1;;;5;42;
7121990-1;0;1;2;;;4;62;
7121992-1;2;1;1;2;2;2;41;37
7121993-1;1;1;2;;;4;52;
7121995-1;1;1;2;2;1;2;41;47
7121997-1;2;1;1;2;2;6;36;36
7122001-1;0;1;2;2;1;6;59;58
7122002-1;1;1;2;;;5;41;
7122003-1;0;1;1;;;3;85;
7122004-1;0;1;2;2;1;1;60;48
7122005-1;1;1;1;2;2;2;27;24
7122007-1;4;1;1;2;2;1;45;34
7122008-1;0;1;1;;;5;34;
7122009-1;0;1;2;;;3;88;
7122010-1;0;1;2;;;4;63;
7122011-1;0;1;1;2;2;2;59;48
7122012-1;0;1;1;2;2;2;50;49
7122013-1;2;1;1;2;2;2;46;36
7122014-1;1;1;1;2;2;6;78;81
7122015-1;0;1;1;2;2;2;23;22
7122020-1;3;1;2;;;2;35;
7122023-1;1;1;2;;;5;27;
7122025-1;1;1;2;;;5;54;
7122026-1;0;1;2;;;4;57;
7122027-1;2;1;1;2;2;2;48;37
7122029-1;0;1;1;2;2;6;64;59
7122030-1;0;1;1;;;4;56;
7122031-1;0;1;1;;;4;72;
7122033-1;0;1;2;;;4;81;
7122034-1;1;1;1;2;2;6;79;77
7122035-1;0;1;1;;;4;52;
7122036-1;0;1;2;;;4;66;
7122037-1;2;1;1;2;2;2;55;31
7122038-1;2;1;2;;;4;46;
7122039-1;3;1;2;2;1;2;34;39
7122040-1;0;1;2;;;3;65;
7122041-1;0;1;2;2;1;2;47;44
7122042-1;1;1;2;2;1;6;60;70
7122042-2;1;1;2;2;1;2;29;39
7122044-1;0;1;2;2;1;6;45;45
7122046-1;1;1;2;;;4;58;
7122047-1;0;1;1;2;2;2;66;62
7122051-1;2;1;1;2;2;6;52;30
7122052-1;0;1;2;2;1;1;22;19
7122055-1;2;1;2;;;4;30;
7122056-1;0;1;1;2;2;6;57;53
7122057-1;2;1;1;2;2;2;31;46
7122058-1;2;1;2;;;4;48;
7122061-1;1;1;1;2;2;2;71;55
7122062-1;3;1;2;2;1;2;34;33
7122063-1;0;1;2;2;1;2;24;34
7122064-1;1;1;1;2;2;6;63;64
7122065-1;0;1;2;2;1;6;62;70
7122066-1;3;1;2;;;4;32;
7122067-1;2;1;1;2;2;6;34;32
7122068-1;1;1;2;;;4;50;
7122069-1;0;1;1;2;2;2;67;61
7122071-1;3;1;2;2;1;6;38;46
7122072-1;1;1;1;;;3;74;
7122072-2;1;1;1;;;4;58;
7122073-1;1;1;2;;;3;70;
7122073-2;2;1;2;;;4;44;
7122074-1;0;1;2;;;4;44;
7122075-1;1;1;2;;;5;26;
7122076-1;1;1;1;2;2;2;61;52
7122077-1;2;1;2;;;3;68;
7122078-1;0;1;1;2;2;6;64;59
7122079-1;0;1;1;2;2;6;73;73
7122080-1;0;1;1;;;4;39;
7122080-2;2;1;2;;;4;37;
7122081-1;2;1;2;2;1;2;38;39
7122083-1;2;1;1;2;2;2;38;36
7122084-1;0;1;2;;;3;57;
7122085-1;1;1;2;;;3;68;
