Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Energia;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;
7120001-1;1;1;2;2;1;2;44;48;1;1;3;4;1;2;2;3;3;
7120002-1;5;1;1;2;2;6;61;54;1;1;2;1;5;2;2;1;1;
7120005-1;0;1;1;2;2;6;79;75;1;1;3;4;4;2;0;3;1;
7120006-1;0;1;2;;;5;37;;1;1;3;1;;2;;3;;
7120007-1;0;1;1;;;5;72;;1;1;2;4;;0;;1;;
7120008-1;0;1;1;;;5;73;;1;1;2;6;;0;;1;;
7120009-1;1;1;2;;;3;74;;1;1;2;4;;0;;1;;
7120010-1;3;1;1;2;2;2;41;35;1;1;3;1;4;2;2;1;3;
7120013-1;0;1;2;;;4;26;;1;1;2;1;;2;;1;;
7120016-1;2;1;2;;;4;39;;1;1;2;4;;2;;3;;
7120018-1;2;1;1;2;2;2;24;25;1;1;2;1;4;1;0;1;1;
7120019-1;1;1;1;;;3;60;;1;1;2;1;;2;;1;;
7120022-1;0;1;1;2;2;6;65;61;1;1;2;4;4;2;0;1;1;
7120023-1;2;1;1;2;2;6;35;32;1;1;2;1;4;2;2;3;1;
7120024-1;2;1;1;2;2;2;35;26;1;1;2;1;1;2;2;1;1;
7120025-1;1;1;2;2;1;2;55;58;1;1;2;4;5;0;0;1;1;
7120028-1;0;1;1;2;2;2;64;61;1;1;2;5;1;2;2;3;1;
7120030-1;1;1;1;2;2;2;34;24;1;1;2;2;4;2;2;1;1;
7120031-1;0;1;2;;;5;46;;1;1;2;1;;2;;3;;
7120032-1;1;1;2;;;4;50;;1;1;2;1;;0;;1;;
7120034-1;0;1;2;;;5;74;;2;1;3;4;;0;;3;;
7120035-1;1;1;1;2;2;6;56;34;2;1;4;2;1;2;2;3;3;
7120036-1;0;1;2;;;5;63;;2;1;3;1;;2;;3;;
7120037-1;0;1;1;;;3;79;;2;1;2;5;;0;;1;;
7120039-1;2;1;1;2;2;1;58;39;2;1;3;5;4;2;2;3;3;
7120041-1;4;1;2;;;4;36;;2;1;2;1;;0;;1;;
7120044-1;0;1;1;;;4;54;;2;1;3;1;;2;;3;;
7120045-1;0;1;1;2;2;6;76;69;2;1;3;5;4;0;2;1;1;
7120046-1;4;1;1;2;2;6;42;43;2;1;3;1;4;2;2;1;1;
7120048-1;0;1;2;;;3;68;;4;1;2;6;;2;;3;;
7120050-1;0;1;2;;;6;33;;4;1;2;1;;2;;3;;
7120052-1;0;1;1;2;2;2;50;52;4;1;2;1;4;2;0;1;1;
7120053-1;2;1;1;2;2;6;59;68;4;1;3;1;4;2;2;3;3;
7120054-1;2;1;2;2;1;2;40;41;4;1;2;4;1;2;2;1;1;
7120055-1;2;1;2;2;1;6;36;44;4;1;3;1;1;2;2;3;3;
7120056-1;0;1;1;;;5;29;;4;1;2;3;;2;;3;;
