Codigo;Hijos;Sexo Jefe;Sexo Conyuge;Tipo Union;Edad Jefe;Edad Conyuge;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Trabajo conyuge;Ingresos totales;Uso tecnologia Jefe;Uso tecnologia conyuge;Edu Jefe;Edu Conyuge;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7120001-1;1;2;1;2;44;48;1;4;3;4;1;3800000;2;2;3;3;1;3;2;85000;1
7120002-1;5;1;2;6;61;54;1;10;2;1;5;3656652;2;2;1;1;1;5;4;62000;0
7120005-1;0;1;2;6;79;75;1;2;3;4;4;4200000;2;0;3;1;1;5;1;189000;2
7120010-1;3;1;2;2;41;35;1;5;3;1;4;7150000;2;2;1;3;1;4;3;120000;1
7120018-1;2;1;2;2;24;25;1;4;2;1;4;722500;1;0;1;1;1;3;2;75000;3
7120022-1;0;1;2;6;65;61;1;2;2;4;4;1533333;2;0;1;1;1;4;1;107000;2
7120023-1;2;1;2;6;35;32;1;4;2;1;4;1472500;2;2;3;1;1;3;2;88000;2
7120024-1;2;1;2;2;35;26;1;4;2;1;1;2178316;2;2;1;1;1;2;1;42000;2
7120025-1;1;2;1;2;55;58;1;3;2;4;5;1793116;0;0;1;1;1;3;2;65000;2
7120028-1;0;1;2;2;64;61;1;3;2;5;1;2200000;2;2;3;1;1;2;2;120000;0
7120030-1;1;1;2;2;34;24;1;2;2;2;4;500000;2;2;1;1;1;2;1;70000;0
7120035-1;1;1;2;6;56;34;2;3;4;2;1;3000000;2;2;3;3;2;4;2;64000;2
7120039-1;2;1;2;1;58;39;2;4;3;5;4;3800000;2;2;3;3;1;5;4;100000;2
7120045-1;0;1;2;6;76;69;2;2;3;5;4;3250000;0;2;1;1;1;4;3;80000;2
7120046-1;4;1;2;6;42;43;2;6;3;1;4;2620000;2;2;1;1;1;4;3;90000;2
7120052-1;0;1;2;2;50;52;4;2;2;1;4;1080000;2;0;1;1;1;4;1;80000;2
