Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Tipo Union;Edad Jefe;Region;Energia;Estrato vivienda;Trabajo Jefe;Uso tecnologia Jefe;Edu Jefe;;;
7120006-1;0;1;2;5;37;1;1;3;1;2;3;;;
7120007-1;0;1;1;5;72;1;1;2;4;0;1;;;
7120008-1;0;1;1;5;73;1;1;2;6;0;1;;;
7120009-1;1;1;2;3;74;1;1;2;4;0;1;;;
7120013-1;0;1;2;4;26;1;1;2;1;2;1;;;
7120016-1;2;1;2;4;39;1;1;2;4;2;3;;;
7120019-1;1;1;1;3;60;1;1;2;1;2;1;;;
7120031-1;0;1;2;5;46;1;1;2;1;2;3;;;
7120032-1;1;1;2;4;50;1;1;2;1;0;1;;;
7120034-1;0;1;2;5;74;2;1;3;4;0;3;;;
7120036-1;0;1;2;5;63;2;1;3;1;2;3;;;
7120037-1;0;1;1;3;79;2;1;2;5;0;1;;;
7120041-1;4;1;2;4;36;2;1;2;1;0;1;;;
7120044-1;0;1;1;4;54;2;1;3;1;2;3;;;
7120048-1;0;1;2;3;68;4;1;2;6;2;3;;;
7120050-1;0;1;2;6;33;4;1;2;1;2;3;;;
7120056-1;0;1;1;5;29;4;1;2;3;2;3;;;
7120059-1;0;1;1;5;39;9;1;2;1;2;3;;;
7120060-1;0;1;1;4;60;9;1;0;1;2;3;;;
7120064-1;0;1;2;2;47;9;1;2;1;0;1;;;
7120070-1;1;1;2;2;27;9;1;1;4;2;1;;;
7120073-1;1;1;2;5;49;9;1;1;1;1;1;;;
7120074-1;0;1;2;6;59;9;1;1;4;0;0;;;
7120076-1;2;1;2;5;35;9;1;1;1;0;2;;;
7120077-1;0;1;2;5;25;9;1;1;1;2;3;;;
7120078-1;0;1;2;4;53;9;1;1;1;1;1;;;
7120079-1;0;1;2;5;22;9;1;1;1;2;3;;;
7120080-1;0;1;1;5;33;9;1;1;1;0;1;;;
7120081-1;0;1;1;4;37;9;1;1;1;2;3;;;
7120082-1;0;1;2;6;24;9;1;1;1;2;3;;;
7120083-1;1;1;2;5;55;9;1;2;4;0;0;;;
7120088-1;1;1;2;5;58;9;1;3;1;0;1;;;
7120091-1;1;1;2;5;32;9;1;1;1;0;3;;;
7121639-1;1;1;1;3;78;1;1;2;4;0;1;;;
7121640-1;2;1;2;4;47;1;1;2;4;2;1;;;
7121646-1;2;1;2;4;40;1;1;1;4;2;3;;;
7121647-1;0;1;1;4;41;1;1;1;2;2;2;;;
7121648-1;0;1;2;3;52;1;1;1;1;0;1;;;
7121650-1;2;1;2;5;46;1;1;1;1;0;1;;;
7121651-1;0;1;1;5;56;1;1;1;4;0;1;;;
7121654-1;0;1;2;4;57;1;1;1;4;0;1;;;
7121659-1;0;1;2;4;70;1;1;1;4;0;1;;;
7121662-1;1;1;2;4;62;1;1;1;4;0;1;;;
7121665-1;0;1;2;4;59;1;1;1;4;0;1;;;
7121670-1;0;1;2;2;51;1;1;1;1;2;1;;;
7121678-1;0;1;1;4;57;1;1;4;1;0;1;;;
7121681-1;0;1;1;6;52;1;1;4;1;2;1;;;
7121683-1;0;1;1;4;52;1;1;4;1;0;1;;;
7121687-1;1;1;2;4;47;1;1;2;4;0;1;;;
7121690-1;2;1;2;2;36;1;1;2;4;2;3;;;
7121691-1;1;1;2;3;71;1;1;2;4;0;1;;;
7121695-1;2;1;2;4;35;1;1;2;4;2;3;;;
7121700-1;3;1;2;4;31;1;1;2;1;2;3;;;
7121701-1;3;1;1;4;41;1;1;2;1;2;3;;;
7121702-1;1;1;2;3;76;1;1;2;4;0;0;;;
7121703-1;1;1;2;3;72;1;1;2;4;0;1;;;
7121714-1;0;1;2;5;71;1;1;2;4;0;1;;;
7121715-1;2;1;2;5;30;1;1;0;2;0;1;;;
7121716-1;0;1;1;4;53;1;1;2;4;0;1;;;
7121721-1;3;1;2;5;30;1;1;1;1;0;1;;;
