Codigo;Hijos;Sexo Jefe;Tipo Union;Edad Jefe;Region;Cantidad de personas;Estrato vivienda;Trabajo Jefe;Ingresos totales;Uso tecnologia Jefe;Edu Jefe;Afiliacion salud;N cuartos;N cuartos dormir;Valor Electricidad;N usos Lavadora
7120006-1;0;2;5;37;1;3;3;1;1365000;2;3;1;3;2;188800;2
7120007-1;0;1;5;72;1;3;2;4;765833;0;1;1;4;3;87000;2
7120008-1;0;1;5;73;1;1;2;6;1785721;0;1;1;3;1;30000;1
7120009-1;1;2;3;74;1;2;2;4;1800000;0;1;2;3;2;100000;1
7120013-1;0;2;4;26;1;4;2;1;5170000;2;1;1;4;3;50000;0
7120016-1;2;2;4;39;1;3;2;4;178333;2;3;1;2;1;0;2
7120019-1;1;1;3;60;1;6;2;1;3343000;2;1;1;3;2;90000;3
7120031-1;0;2;5;46;1;1;2;1;2662948;2;3;1;2;1;60000;0
7120032-1;1;2;4;50;1;2;2;1;705000;0;1;1;2;1;40000;2
7120034-1;0;2;5;74;2;3;3;4;1100000;0;3;1;4;3;135000;1
7120036-1;0;2;5;63;2;2;3;1;7709987;2;3;1;3;2;70000;0
7120037-1;0;1;3;79;2;2;2;5;1250000;0;1;1;3;2;15000;0
7120041-1;4;2;4;36;2;5;2;1;857500;0;1;1;3;2;80000;0
7120044-1;0;1;4;54;2;2;3;1;7000000;2;3;1;3;2;20000;0
7120048-1;0;2;3;68;4;1;2;6;3940000;2;3;1;3;1;32000;1
7120050-1;0;2;6;33;4;1;2;1;6370666;2;3;1;3;1;20000;1
7120056-1;0;1;5;29;4;1;2;3;35000;2;3;2;2;1;48000;1
7120059-1;0;1;5;39;9;3;2;1;2604666;2;3;2;8;3;230000;2
7120060-1;0;1;4;60;9;1;0;1;5500000;2;3;1;2;1;0;1
7120064-1;0;2;2;47;9;1;2;1;344000;0;1;1;1;1;40000;0
7120070-1;1;2;2;27;9;2;1;4;960000;2;1;1;3;2;35000;0
7120073-1;1;2;5;49;9;2;1;1;650000;1;1;1;3;2;28000;0
7120074-1;0;2;6;59;9;1;1;4;375000;0;0;1;3;1;35000;2
7120076-1;2;2;5;35;9;3;1;1;685000;0;2;1;1;1;15000;0
7120077-1;0;2;5;25;9;1;1;1;3100000;2;3;1;3;2;20800;2
7120078-1;0;2;4;53;9;1;1;1;1294148;1;1;1;2;1;38000;0
7120079-1;0;2;5;22;9;2;1;1;1600000;2;3;1;3;2;8400;1
7120080-1;0;1;5;33;9;1;1;1;1125694;0;1;1;1;1;12000;0
7120081-1;0;1;4;37;9;1;1;1;2147000;2;3;1;3;1;45000;2
7120082-1;0;2;6;24;9;1;1;1;1481666;2;3;1;3;1;15000;1
7120083-1;1;2;5;55;9;3;2;4;220000;0;0;1;3;2;28000;0
7120088-1;1;2;5;58;9;3;3;1;2999166;0;1;2;6;3;148300;2
7120091-1;1;2;5;32;9;2;1;1;1073116;0;3;1;2;1;38000;0
7121639-1;1;1;3;78;1;3;2;4;1004782;0;1;1;3;2;0;2
7121640-1;2;2;4;47;1;3;2;4;828000;2;1;2;3;2;40000;2
7121646-1;2;2;4;40;1;4;1;4;446666;2;3;1;3;2;53000;0
7121647-1;0;1;4;41;1;1;1;2;25000;2;2;1;4;1;30000;1
7121648-1;0;2;3;52;1;8;1;1;2389949;0;1;1;7;5;112000;0
7121650-1;2;2;5;46;1;3;1;1;310000;0;1;1;3;2;40000;0
7121651-1;0;1;5;56;1;3;1;4;1030000;0;1;1;3;3;10000;1
7121654-1;0;2;4;57;1;2;1;4;812500;0;1;1;4;2;48000;2
7121659-1;0;2;4;70;1;4;1;4;1622032;0;1;1;4;2;50000;0
7121662-1;1;2;4;62;1;2;1;4;300000;0;1;1;3;2;50000;0
7121665-1;0;2;4;59;1;2;1;4;0;0;1;1;3;2;48000;2
7121670-1;0;2;2;51;1;2;1;1;554666;2;1;1;3;2;32000;2
7121678-1;0;1;4;57;1;1;4;1;1062000;0;1;1;3;1;80000;1
7121681-1;0;1;6;52;1;1;4;1;1129000;2;1;1;1;1;90000;0
7121683-1;0;1;4;52;1;1;4;1;700000;0;1;2;1;1;80000;0
7121687-1;1;2;4;47;1;5;2;4;904500;0;1;2;5;3;32000;0
7121690-1;2;2;2;36;1;4;2;4;1871666;2;3;1;5;3;72000;1
7121691-1;1;2;3;71;1;4;2;4;360416;0;1;1;5;4;48000;2
7121695-1;2;2;4;35;1;3;2;4;861666;2;3;1;2;1;0;2
7121700-1;3;2;4;31;1;4;2;1;400000;2;3;1;5;3;200000;2
7121701-1;3;1;4;41;1;4;2;1;1500000;2;3;2;3;2;77000;2
7121702-1;1;2;3;76;1;5;2;4;1866666;0;0;1;3;2;0;2
7121703-1;1;2;3;72;1;2;2;4;1100000;0;1;1;5;2;150000;0
7121714-1;0;2;5;71;1;2;2;4;286666;0;1;1;3;2;55000;0
7121715-1;2;2;5;30;1;4;0;2;210000;0;1;1;2;1;0;0
7121716-1;0;1;4;53;1;1;2;4;0;0;1;1;4;4;80000;0
7121721-1;3;2;5;30;1;4;1;1;70000;0;1;1;1;1;0;0
7121722-1;2;2;4;43;1;3;0;1;330000;0;1;1;3;2;0;0
7121725-1;0;1;6;57;1;1;3;1;800000;2;1;1;1;1;20000;0
7121726-1;1;2;2;27;1;3;3;1;2047000;2;3;1;4;2;103000;3
7121727-1;0;1;5;37;1;1;3;1;720000;0;1;1;1;1;67680;0
7121728-1;0;2;2;49;1;1;3;1;400000;2;3;1;1;1;20000;0
7121729-1;1;1;4;22;1;2;3;2;528333;0;1;2;1;1;0;0
7121730-1;0;1;5;35;1;1;3;1;900000;2;3;1;1;1;0;0
7121736-1;2;1;3;48;1;5;1;1;900000;0;1;2;2;2;0;0
7121737-1;0;1;4;24;1;1;0;1;450000;0;1;2;1;1;17000;0
7121739-1;2;2;4;52;1;5;1;1;780000;2;0;1;3;3;300000;0
7121740-1;1;2;4;56;1;2;2;1;780000;0;1;1;2;1;65000;2
7121744-1;2;2;4;52;1;4;1;1;886500;0;1;1;3;3;80000;3
7121746-1;0;2;5;25;1;1;2;1;750000;2;3;2;3;1;70500;0
7121747-1;0;2;5;23;1;1;2;1;600000;0;1;2;2;1;40000;0
7121750-1;0;2;3;76;1;3;3;4;789583;0;1;1;5;3;62200;2
7121751-1;0;1;4;39;1;1;3;1;1041666;2;3;1;3;1;41300;0
7121752-1;4;2;2;47;1;7;3;4;2507333;0;1;2;3;2;30000;0
7121753-1;1;1;4;62;1;2;3;1;4300000;2;3;1;4;2;280000;2
7121765-1;0;2;3;73;1;1;1;4;300000;0;1;1;4;1;68530;1
7121767-1;1;2;4;37;1;2;1;1;507833;0;1;1;3;2;20000;1
7121769-1;0;2;4;50;1;1;1;5;216666;0;0;1;3;1;30000;1
7121802-1;1;2;5;53;3;2;2;4;2400000;2;1;1;6;2;54820;2
7121812-1;1;2;1;46;3;3;1;1;480000;0;1;1;4;2;67000;0
7121813-1;1;2;5;57;3;2;1;1;808333;0;1;1;5;2;30000;2
7121814-1;0;2;4;48;3;1;1;1;600000;0;1;1;3;1;22000;0
7121816-1;4;2;4;36;3;5;1;1;718333;2;1;1;3;2;12000;0
7121817-1;0;1;5;50;3;1;1;2;600000;0;1;1;3;2;12000;0
