Codigo;Hijos;Secuencia Jefe;Sexo Jefe;Secuencia Conyuge;Sexo Conyuge;Tipo Union;Educacion padre;Educacion madre
7120001-1;1;1;2;2;1;2;;
7120002-1;5;1;1;2;2;6;;
7120005-1;0;1;1;2;2;6;;
7120006-1;0;1;2;;;5;;
7120007-1;0;1;1;;;5;;
7120008-1;0;1;1;;;5;;
7120009-1;1;1;2;;;3;;
7120010-1;3;1;1;2;2;2;;
7120013-1;0;1;2;;;4;;
7120016-1;2;1;2;;;4;;
7120018-1;2;1;1;2;2;2;;
7120019-1;1;1;1;;;3;;
7120022-1;0;1;1;2;2;6;;
7120023-1;2;1;1;2;2;6;;
7120024-1;2;1;1;2;2;2;;
7120025-1;1;1;2;2;1;2;;
7120028-1;0;1;1;2;2;2;;
7120030-1;0;1;1;2;2;2;;
7120031-1;0;1;2;;;5;;
7120032-1;1;1;2;;;4;;
7120033-1;1;1;1;2;2;2;;
7120034-1;0;1;2;;;5;;
7120035-1;1;1;1;2;2;6;;
7120036-1;0;1;2;;;5;;
7120037-1;0;1;1;;;3;;
7120039-1;2;1;1;2;2;1;;
7120041-1;4;1;2;;;4;;
7120044-1;0;1;1;;;4;;
7120045-1;0;1;1;2;2;6;;
7120046-1;4;1;1;2;2;6;;
7120048-1;0;1;2;;;3;;
7120050-1;0;1;2;;;6;;
7120052-1;0;1;1;2;2;2;;
7120053-1;2;1;1;2;2;6;;
7120054-1;2;1;2;2;1;2;;
7120055-1;2;1;2;2;1;6;;
7120056-1;0;1;1;;;5;;
7120059-1;0;1;1;;;5;;
7120060-1;0;1;1;;;4;;
7120061-1;2;1;2;2;1;6;;
7120062-1;1;1;1;2;2;6;;
7120063-1;1;1;1;2;2;6;;
7120064-1;0;1;2;;;2;;
7120065-1;0;1;1;2;2;2;;
7120066-1;1;1;1;2;2;2;;
7120067-1;0;1;1;2;2;1;;
7120069-1;0;1;2;2;1;6;;
7120070-1;1;1;2;;;2;;
7120071-1;0;1;1;2;2;2;;
7120073-1;1;1;2;;;5;;
7120074-1;0;1;2;;;6;;
7120075-1;6;1;1;2;2;1;;
7120076-1;2;1;2;;;5;;
7120077-1;0;1;2;;;5;;
7120078-1;0;1;2;;;4;;
7120079-1;0;1;2;;;5;;
7120080-1;0;1;1;;;5;;
7120081-1;0;1;1;;;4;;
7120082-1;0;1;2;;;6;;
7120083-1;1;1;2;;;5;;
7120084-1;1;1;2;2;1;2;;
7120085-1;1;1;1;2;2;6;;
7120086-1;0;1;1;2;2;6;;
7120087-1;0;1;1;2;2;6;;
7120088-1;1;1;2;;;5;;
7120089-1;2;1;1;2;2;6;;
7120090-1;1;1;1;2;2;2;;
7120091-1;1;1;2;;;5;;
7121638-1;2;1;1;2;2;2;;
7121639-1;1;1;1;;;3;;
7121640-1;2;1;2;;;4;;
7121641-1;2;1;1;2;2;6;;
7121642-1;3;1;1;2;2;6;;
7121643-1;1;1;1;2;2;6;;
7121644-1;3;1;1;2;2;6;;
7121645-1;1;1;1;2;2;6;;
7121646-1;2;1;2;;;4;;
7121647-1;0;1;1;;;4;;
7121648-1;0;1;2;;;3;;
