Codigo;Hijos
7120001-1;1
7120002-1;5
7120005-1;0
7120006-1;0
7120007-1;0
7120008-1;0
7120009-1;1
7120010-1;3
7120013-1;0
7120016-1;2
7120018-1;2
7120019-1;1
7120022-1;0
7120023-1;2
7120024-1;2
7120025-1;1
7120028-1;0
7120030-1;0
7120031-1;0
7120032-1;1
7120033-1;1
7120034-1;0
7120035-1;1
7120036-1;0
7120037-1;0
7120039-1;2
7120041-1;4
7120044-1;0
7120045-1;0
7120046-1;4
7120048-1;0
7120050-1;0
7120052-1;0
7120053-1;2
7120054-1;2
7120055-1;2
7120056-1;0
7120059-1;0
7120060-1;0
7120061-1;2
7120062-1;1
7120063-1;1
7120064-1;0
7120065-1;0
7120066-1;1
7120067-1;0
7120069-1;0
7120070-1;1
7120071-1;0
7120073-1;1
7120074-1;0
7120075-1;6
7120076-1;2
7120077-1;0
7120078-1;0
7120079-1;0
7120080-1;0
7120081-1;0
7120082-1;0
7120083-1;1
7120084-1;1
7120085-1;1
7120086-1;0
7120087-1;0
7120088-1;1
7120089-1;2
7120090-1;1
7120091-1;1
7121638-1;2
7121639-1;1
7121640-1;2
7121641-1;2
7121642-1;3
7121643-1;1
7121644-1;3
7121645-1;1
7121646-1;2
7121647-1;0
7121648-1;0
7121649-1;0
7121650-1;2
7121651-1;0
7121652-1;2
7121653-1;2
7121654-1;0
7121658-1;3
7121659-1;0
7121660-1;2
7121662-1;1
7121663-1;3
7121664-1;2
7121665-1;0
7121666-1;1
7121667-1;1
7121669-1;4
7121670-1;0
7121674-1;1
7121676-1;0
7121678-1;0
7121681-1;0
7121682-1;3
7121683-1;0
7121687-1;1
7121689-1;0
7121690-1;2
7121691-1;1
7121693-1;2
7121694-1;2
7121695-1;2
7121697-1;2
7121698-1;1
7121699-1;2
7121700-1;3
7121701-1;3
7121702-1;1
7121703-1;1
7121704-1;0
7121705-1;3
7121706-1;2
7121707-1;0
7121709-1;1
7121710-1;1
7121712-1;2
7121713-1;3
7121714-1;0
7121715-1;2
7121716-1;0
7121718-1;0
7121719-1;4
7121720-1;2
7121721-1;3
7121722-1;2
7121723-1;3
7121724-1;2
7121725-1;0
7121726-1;1
7121727-1;0
7121728-1;0
7121729-1;1
7121730-1;0
7121732-1;2
7121733-1;4
7121734-1;0
7121735-1;1
7121736-1;2
7121737-1;0
7121738-1;3
7121739-1;2
7121740-1;1
7121741-1;1
7121742-1;0
7121744-1;2
7121746-1;0
7121747-1;0
7121748-1;0
7121750-1;0
7121751-1;0
7121752-1;4
7121753-1;1
7121755-1;0
7121756-1;2
7121757-1;0
7121759-1;1
7121762-1;0
7121763-1;0
7121764-1;0
7121765-1;0
7121767-1;1
7121769-1;0
7121770-1;1
7121773-1;3
7121774-1;0
7121776-1;0
7121783-1;0
7121801-1;0
7121802-1;1
7121805-1;3
7121806-1;1
7121808-1;1
7121808-2;0
7121810-1;0
7121811-1;2
7121812-1;1
7121813-1;1
7121814-1;0
7121816-1;4
7121817-1;0
7121819-1;1
7121820-1;0
7121822-1;2
7121823-1;0
7121825-1;2
7121826-1;0
7121827-1;3
7121828-1;0
7121829-1;2
7121830-1;2
7121831-1;1
7121832-1;0
7121833-1;1
7121834-1;0
7121835-1;1
7121836-1;0
7121837-1;1
7121838-1;1
7121839-1;0
7121840-1;1
7121841-1;2
7121842-1;0
7121843-1;0
7121844-1;0
7121845-1;2
7121846-1;2
7121847-1;2
7121848-1;1
7121849-1;3
7121850-1;0
7121853-1;0
7121854-1;1
7121855-1;2
7121856-1;4
7121857-1;1
7121859-1;0
7121860-1;0
7121862-1;3
7121863-1;0
7121864-1;3
7121866-1;0
7121867-1;3
7121868-1;2
7121869-1;1
7121870-1;2
7121871-1;4
7121874-1;1
7121875-1;0
7121876-1;0
7121877-1;3
7121878-1;2
7121879-1;0
7121880-1;1
7121881-1;0
7121883-1;0
7121884-1;0
7121888-1;1
7121889-1;4
7121890-1;2
7121892-1;3
7121893-1;2
7121894-1;2
7121895-1;1
7121896-1;0
7121897-1;0
7121898-1;2
7121899-1;1
7121901-1;2
7121902-1;4
7121903-1;0
7121904-1;0
7121905-1;3
7121906-1;1
7121907-1;0
7121908-1;1
7121910-1;0
7121911-1;1
7121912-1;1
7121913-1;1
7121914-1;0
7121915-1;0
7121916-1;0
7121919-1;0
7121920-1;1
7121921-1;2
7121922-1;2
7121923-1;3
7121924-1;1
7121925-1;0
7121926-1;1
7121927-1;0
7121928-1;4
7121929-1;0
7121930-1;0
7121931-1;0
7121932-1;0
7121933-1;2
7121934-1;3
7121935-1;1
7121936-1;1
7121937-1;0
7121939-1;2
7121940-1;1
7121942-1;1
7121942-2;0
7121943-1;1
7121944-1;0
7121945-1;0
7121946-1;1
7121947-1;0
7121949-1;1
7121950-1;0
7121951-1;0
7121952-1;2
7121953-1;0
7121954-1;1
7121955-1;0
7121956-1;1
7121957-1;1
7121959-1;0
7121960-1;3
7121961-1;0
7121962-1;2
7121963-1;0
7121964-1;1
7121966-1;1
7121967-1;0
7121967-2;0
7121968-1;1
7121969-1;2
7121970-1;0
7121971-1;0
7121972-1;0
7121973-1;0
7121974-1;0
7121975-1;0
7121976-1;0
7121977-1;0
7121978-1;2
7121979-1;0
7121980-1;0
7121981-1;1
7121982-1;0
7121983-1;3
7121984-1;0
7121985-1;1
7121987-1;3
7121989-1;2
7121989-2;0
7121990-1;0
7121992-1;2
7121993-1;1
7121995-1;1
7121997-1;2
7122001-1;0
7122002-1;1
7122003-1;0
7122004-1;0
7122005-1;1
7122007-1;4
7122008-1;0
7122009-1;0
7122010-1;0
7122011-1;0
7122012-1;0
7122013-1;2
7122014-1;1
7122015-1;0
7122020-1;3
7122023-1;1
7122025-1;1
7122026-1;0
7122027-1;2
7122029-1;0
7122030-1;0
7122031-1;0
7122033-1;0
7122034-1;1
7122035-1;0
7122036-1;0
7122037-1;2
7122038-1;2
7122039-1;3
7122040-1;0
7122041-1;0
7122042-1;1
7122042-2;1
7122044-1;0
7122046-1;1
7122047-1;0
7122051-1;2
7122052-1;0
7122055-1;2
7122056-1;0
7122057-1;2
7122058-1;2
7122061-1;1
7122062-1;3
7122063-1;0
7122064-1;1
7122065-1;0
7122066-1;3
7122067-1;2
7122068-1;1
7122069-1;0
7122071-1;3
7122072-1;1
7122072-2;1
7122073-1;1
7122073-2;2
7122074-1;0
7122075-1;1
7122076-1;1
7122077-1;2
7122078-1;0
7122079-1;0
7122080-1;0
7122080-2;2
7122081-1;2
7122083-1;2
7122084-1;0
7122085-1;1
7122086-1;2
7122086-2;1
7122087-1;2
7122088-1;3
7122089-1;4
7122090-1;1
7122091-1;2
7122093-1;2
7122094-1;3
7122096-1;0
7122097-1;0
7122098-1;0
7122103-1;0
7122104-1;0
7122105-1;0
7122108-1;1
7122110-1;1
7122111-1;2
7122113-1;1
7122115-1;0
7122115-2;2
7122116-1;1
7122116-2;0
7122116-3;2
7122117-1;0
7122118-1;2
7122119-1;0
7122120-1;0
7122120-2;0
7122120-3;2
7122121-1;0
7122122-1;2
7122123-1;2
7122125-1;1
7122127-1;1
7122128-1;0
7122131-1;1
7122132-1;0
7122134-1;3
7122135-1;1
7122136-1;0
7122137-1;1
7122138-1;2
7122139-1;0
7122140-1;1
7122141-1;1
7122142-1;2
7122143-1;1
7122145-1;5
7122146-1;0
7122147-1;1
7122148-1;2
7122149-1;3
7122150-1;1
7122151-1;0
7122152-1;1
7122153-1;1
7122154-1;1
7122157-1;0
7122159-1;2
7122161-1;1
7122162-1;0
7122163-1;2
7122164-1;2
7122165-1;1
7122166-1;0
7122167-1;2
7122168-1;0
7122171-1;0
7122172-1;0
7122173-1;0
7122174-1;1
7122176-1;0
7122180-1;0
7122183-1;2
7122184-1;3
7122185-1;1
7122187-1;0
