"Hijos","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Edad.Jefe","Edad.Conyuge","Region","Estrato.vivienda","Trabajo.Jefe","Trabajo.conyuge","Ingresos.totales","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge","Edu.Jefe","Edu.Conyuge"
1,2,1,2,44,48,1,3,4,1,1933333,2,2,3,3
5,1,2,6,61,54,1,2,1,5,862825,2,2,1,1
0,1,2,6,79,75,1,3,4,4,3000000,2,0,3,1
0,2,NA,5,37,NA,1,3,1,NA,1045833,2,NA,3,NA
0,1,NA,5,72,NA,1,2,4,NA,137500,0,NA,1,NA
0,1,NA,5,73,NA,1,2,6,NA,1785721,0,NA,1,NA
1,2,NA,3,74,NA,1,2,4,NA,400000,0,NA,1,NA
3,1,2,2,41,35,1,3,1,4,6600000,2,2,1,3
0,2,NA,4,26,NA,1,2,1,NA,702000,2,NA,1,NA
2,2,NA,4,39,NA,1,2,4,NA,0,2,NA,3,NA
2,1,2,2,24,25,1,2,1,4,700000,1,0,1,1
1,1,NA,3,60,NA,1,2,1,NA,1800000,2,NA,1,NA
0,1,2,6,65,61,1,2,4,4,833333,2,0,1,1
2,1,2,6,35,32,1,2,1,4,950000,2,2,3,1
2,1,2,2,35,26,1,2,1,1,2108296,2,2,1,1
1,2,1,2,55,58,1,2,4,5,780000,0,0,1,1
0,1,2,2,64,61,1,2,5,1,1625000,2,2,3,1
1,1,2,2,34,24,1,2,2,4,500000,2,2,1,1
0,2,NA,5,46,NA,1,2,1,NA,2262948,2,NA,3,NA
1,2,NA,4,50,NA,1,2,1,NA,630000,0,NA,1,NA
0,2,NA,5,74,NA,2,3,4,NA,1100000,0,NA,3,NA
1,1,2,6,56,34,2,4,2,1,3000000,2,2,3,3
0,2,NA,5,63,NA,2,3,1,NA,6709987,2,NA,3,NA
0,1,NA,3,79,NA,2,2,5,NA,0,0,NA,1,NA
2,1,2,1,58,39,2,3,5,4,1800000,2,2,3,3
4,2,NA,4,36,NA,2,2,1,NA,700000,0,NA,1,NA
0,1,NA,4,54,NA,2,3,1,NA,4000000,2,NA,3,NA
0,1,2,6,76,69,2,3,5,4,1350000,0,2,1,1
4,1,2,6,42,43,2,3,1,4,1800000,2,2,1,1
0,2,NA,3,68,NA,4,2,6,NA,3540000,2,NA,3,NA
0,2,NA,6,33,NA,4,2,1,NA,6370666,2,NA,3,NA
0,1,2,2,50,52,4,2,1,4,1080000,2,0,1,1
2,1,2,6,59,68,4,3,1,4,3525000,2,2,3,3
2,2,1,2,40,41,4,2,4,1,1737266,2,2,1,1
2,2,1,6,36,44,4,3,1,1,7130999,2,2,3,3
0,1,NA,5,29,NA,4,2,3,NA,35000,2,NA,3,NA
0,1,NA,5,39,NA,9,2,1,NA,2000000,2,NA,3,NA
0,1,NA,4,60,NA,9,0,1,NA,5500000,2,NA,3,NA
2,2,1,6,30,32,9,2,1,4,2280000,0,0,1,1
1,1,2,6,75,69,9,1,5,5,33333,0,0,0,1
1,1,2,6,48,49,9,1,1,1,325833,0,0,1,1
0,2,NA,2,47,NA,9,2,1,NA,340000,0,NA,1,NA
0,1,2,2,41,40,9,1,1,1,1122500,0,1,1,1
1,1,2,2,53,50,9,1,1,4,500000,0,2,1,1
1,1,2,1,24,23,9,1,1,4,828000,2,2,3,3
0,2,1,6,82,88,9,1,5,5,300000,0,0,1,1
1,2,NA,2,27,NA,9,1,4,NA,960000,2,NA,1,NA
0,1,2,2,41,49,9,1,1,4,1983481,2,0,1,1
1,2,NA,5,49,NA,9,1,1,NA,350000,1,NA,1,NA
0,2,NA,6,59,NA,9,1,4,NA,25000,0,NA,0,NA
