"Hijos","Edad.Jefe","Edad.Conyuge","Ingresos.totales","Sexo.Jefe","Sexo.Conyuge","Tipo.Union","Region","Trabajo.Jefe","Trabajo.conyuge","Edu.Jefe","Edu.Conyuge","Estrato.vivienda","Uso.tecnologia.Jefe","Uso.tecnologia.conyuge"
"T",44,48,1933333,"2","1","2","1","4","1","3","3","3","2","2"
"T",61,54,862825,"1","2","6","1","1","5","1","1","2","2","2"
"N",79,75,3000000,"1","2","6","1","4","4","3","1","3","2","0"
"T",41,35,6600000,"1","2","2","1","1","4","1","3","3","2","2"
"T",24,25,700000,"1","2","2","1","1","4","1","1","2","1","0"
"N",65,61,833333,"1","2","6","1","4","4","1","1","2","2","0"
"T",35,32,950000,"1","2","6","1","1","4","3","1","2","2","2"
"T",35,26,2108296,"1","2","2","1","1","1","1","1","2","2","2"
"T",55,58,780000,"2","1","2","1","4","5","1","1","2","0","0"
"N",64,61,1625000,"1","2","2","1","5","1","3","1","2","2","2"
"T",34,24,500000,"1","2","2","1","2","4","1","1","2","2","2"
"T",56,34,3000000,"1","2","6","2","2","1","3","3","4","2","2"
"T",58,39,1800000,"1","2","1","2","5","4","3","3","3","2","2"
"N",76,69,1350000,"1","2","6","2","5","4","1","1","3","0","2"
"T",42,43,1800000,"1","2","6","2","1","4","1","1","3","2","2"
"N",50,52,1080000,"1","2","2","4","1","4","1","1","2","2","0"
"T",59,68,3525000,"1","2","6","4","1","4","3","3","3","2","2"
"T",40,41,1737266,"2","1","2","4","4","1","1","1","2","2","2"
"T",36,44,7130999,"2","1","6","4","1","1","3","3","3","2","2"
"T",30,32,2280000,"2","1","6","9","1","4","1","1","2","0","0"
"T",75,69,33333,"1","2","6","9","5","5","0","1","1","0","0"
"T",48,49,325833,"1","2","6","9","1","1","1","1","1","0","0"
"N",41,40,1122500,"1","2","2","9","1","1","1","1","1","0","1"
"T",53,50,500000,"1","2","2","9","1","4","1","1","1","0","2"
"T",24,23,828000,"1","2","1","9","1","4","3","3","1","2","2"
"N",82,88,300000,"2","1","6","9","5","5","1","1","1","0","0"
"N",41,49,1983481,"1","2","2","9","1","4","1","1","1","2","0"
"T",40,30,400000,"1","2","1","9","1","1","1","1","1","0","0"
"T",42,43,800000,"2","1","2","9","2","1","3","1","1","2","2"
"T",26,20,1442000,"1","2","6","9","1","1","3","3","2","2","2"
"N",76,70,200000,"1","2","6","9","4","4","1","1","1","0","0"
"N",73,62,500000,"1","2","6","9","4","5","1","1","1","0","0"
"T",52,45,700000,"1","2","6","9","1","1","1","1","1","2","0"
"T",44,50,897000,"1","2","2","9","1","4","1","1","2","2","0"
"T",62,56,1800000,"1","2","2","1","1","4","3","1","2","0","0"
"T",51,50,2000000,"1","2","6","1","1","4","1","1","1","2","0"
"T",63,52,143333,"1","2","6","1","2","4","1","1","1","2","2"
"T",29,24,3500000,"1","2","6","1","1","4","3","3","1","2","2"
"T",40,42,828211,"1","2","6","1","1","4","1","1","1","2","2"
"T",61,54,2475000,"1","2","6","1","1","1","1","3","1","1","2"
"N",55,56,300000,"1","2","2","1","6","4","1","1","1","0","0"
"T",37,38,716666,"1","2","6","1","4","1","1","3","1","2","2"
"T",54,52,223750,"1","2","6","1","1","4","1","1","1","0","0"
