"Hijos","Edad.Jefe","Ingresos.totales","Sexo.Jefe","Region","Trabajo.Jefe","Edu.Jefe","Uso.tecnologia.Jefe","Estrato.vivienda","Tipo.Union"
"N",37,1045833,"2","1","1","3","2","3","5"
"N",72,137500,"1","1","4","1","0","2","5"
"N",73,1785721,"1","1","6","1","0","2","5"
"T",74,400000,"2","1","4","1","0","2","3"
"N",26,702000,"2","1","1","1","2","2","4"
"T",39,0,"2","1","4","3","2","2","4"
"T",60,1800000,"1","1","1","1","2","2","3"
"N",46,2262948,"2","1","1","3","2","2","5"
"T",50,630000,"2","1","1","1","0","2","4"
"N",74,1100000,"2","2","4","3","0","3","5"
"N",63,6709987,"2","2","1","3","2","3","5"
"N",79,0,"1","2","5","1","0","2","3"
"T",36,700000,"2","2","1","1","0","2","4"
"N",54,4000000,"1","2","1","3","2","3","4"
"N",68,3540000,"2","4","6","3","2","2","3"
"N",33,6370666,"2","4","1","3","2","2","6"
"N",29,35000,"1","4","3","3","2","2","5"
"N",39,2000000,"1","9","1","3","2","2","5"
"N",60,5500000,"1","9","1","3","2","0","4"
"N",47,340000,"2","9","1","1","0","2","2"
"T",27,960000,"2","9","4","1","2","1","2"
"T",49,350000,"2","9","1","1","1","1","5"
"N",59,25000,"2","9","4","0","0","1","6"
"T",35,600000,"2","9","1","2","0","1","5"
"N",25,2800000,"2","9","1","3","2","1","5"
"N",53,994148,"2","9","1","1","1","1","4"
"N",22,1479166,"2","9","1","3","2","1","5"
"N",33,1125694,"1","9","1","1","0","1","5"
"N",37,1847000,"1","9","1","3","2","1","4"
"N",24,1131666,"2","9","1","3","2","1","6"
"T",55,20000,"2","9","4","0","0","2","5"
"T",58,724166,"2","9","1","1","0","3","5"
"T",32,1028116,"2","9","1","3","0","1","5"
"T",78,828116,"1","1","4","1","0","2","3"
"T",47,828000,"2","1","4","1","2","2","4"
"T",40,446666,"2","1","4","3","2","1","4"
"N",41,25000,"1","1","2","2","2","1","4"
"N",52,1231616,"2","1","1","1","0","1","3"
"T",46,182916,"2","1","1","1","0","1","5"
"N",56,270833,"1","1","4","1","0","1","5"
"N",57,262500,"2","1","4","1","0","1","4"
"N",70,250000,"2","1","4","1","0","1","4"
"T",62,0,"2","1","4","1","0","1","4"
"N",59,0,"2","1","4","1","0","1","4"
"N",51,144000,"2","1","1","1","2","1","2"
"N",57,762008,"1","1","1","1","0","4","4"
"N",52,829008,"1","1","1","1","2","4","6"
"N",52,600008,"1","1","1","1","0","4","4"
"T",47,0,"2","1","4","1","0","2","4"
"T",36,0,"2","1","4","3","2","2","2"
"T",71,0,"2","1","4","1","0","2","3"
"T",35,801666,"2","1","4","3","2","2","4"
"T",31,400000,"2","1","1","3","2","2","4"
"T",41,1500000,"1","1","1","3","2","2","4"
"T",76,29166,"2","1","4","0","0","2","3"
"T",72,0,"2","1","4","1","0","2","3"
"N",71,65000,"2","1","4","1","0","2","5"
"T",30,0,"2","1","2","1","0","0","5"
"N",53,0,"1","1","4","1","0","2","4"
"T",30,20000,"2","1","1","1","0","1","5"
"T",43,200000,"2","1","1","1","0","0","4"
"N",57,800000,"1","1","1","1","2","3","6"
"T",27,1902000,"2","1","1","3","2","3","2"
"N",37,600000,"1","1","1","1","0","3","5"
"N",49,400000,"2","1","1","3","2","3","2"
"T",22,120000,"1","1","2","1","0","3","4"
"N",35,700000,"1","1","1","3","2","3","5"
"T",48,600000,"1","1","1","1","0","1","3"
"N",24,400000,"1","1","1","1","0","0","4"
"T",52,180000,"2","1","1","0","2","1","4"
"T",56,180000,"2","1","1","1","0","2","4"
"T",52,840000,"2","1","1","1","0","1","4"
"N",25,750000,"2","1","1","3","2","2","5"
"N",23,600000,"2","1","1","1","0","2","5"
"N",76,316666,"2","1","4","1","0","3","3"
"N",39,1041666,"1","1","1","3","2","3","4"
"T",47,23333,"2","1","4","1","0","3","2"
"T",62,3500000,"1","1","1","3","2","3","4"
"N",73,100000,"2","1","4","1","0","1","3"
"T",37,456666,"2","1","1","1","0","1","4"
"N",50,16666,"2","1","5","0","0","1","4"
"T",53,0,"2","3","4","1","2","2","5"
"T",46,250000,"2","3","1","1","0","1","1"
"T",57,500000,"2","3","1","1","0","1","5"
"N",48,350000,"2","3","1","1","0","1","4"
"T",36,700000,"2","3","1","1","2","1","4"
"N",50,600000,"1","3","2","1","0","1","5"
"N",59,900000,"1","3","1","0","0","3","4"
"N",59,1375000,"1","3","1","1","0","3","2"
"T",35,2366666,"2","3","1","3","2","3","4"
"N",27,2000000,"1","3","1","3","2","2","5"
"T",34,50000,"2","3","2","1","0","1","5"
"N",61,30000,"1","3","1","1","0","1","5"
"T",26,904000,"2","3","1","1","2","1","5"
"T",26,8200000,"2","3","1","1","2","1","5"
"N",49,1000000,"2","3","1","1","2","2","5"
"N",53,1200000,"1","3","1","1","0","3","5"
"T",41,200000,"2","3","1","1","0","3","4"
"N",76,300000,"2","3","1","1","0","3","5"
"T",93,775000,"2","3","5","0","0","3","3"
"N",69,99,"1","3","1","1","0","3","3"
"N",55,4166,"2","3","4","1","2","1","4"
"T",34,56666,"2","3","4","1","2","1","4"
"T",35,230000,"2","3","4","3","1","1","4"
"N",79,100000,"2","3","4","1","0","1","3"
"N",30,1059000,"1","3","1","1","2","1","5"
